Date,Jupyter
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,0
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,0
2014-02-02,0
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,0
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,1
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,0
2014-08-17,0
2014-08-24,1
2014-08-31,0
2014-09-07,0
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,0
2014-11-02,1
2014-11-09,0
2014-11-16,1
2014-11-23,0
2014-11-30,1
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,0
2015-01-11,1
2015-01-18,0
2015-01-25,1
2015-02-01,1
2015-02-08,1
2015-02-15,1
2015-02-22,1
2015-03-01,3
2015-03-08,3
2015-03-15,3
2015-03-22,2
2015-03-29,2
2015-04-05,2
2015-04-12,2
2015-04-19,3
2015-04-26,3
2015-05-03,3
2015-05-10,3
2015-05-17,3
2015-05-24,3
2015-05-31,3
2015-06-07,4
2015-06-14,5
2015-06-21,4
2015-06-28,5
2015-07-05,5
2015-07-12,5
2015-07-19,5
2015-07-26,3
2015-08-02,4
2015-08-09,6
2015-08-16,6
2015-08-23,7
2015-08-30,8
2015-09-06,7
2015-09-13,9
2015-09-20,10
2015-09-27,12
2015-10-04,11
2015-10-11,12
2015-10-18,12
2015-10-25,13
2015-11-01,13
2015-11-08,14
2015-11-15,13
2015-11-22,12
2015-11-29,13
2015-12-06,13
2015-12-13,15
2015-12-20,12
2015-12-27,11
2016-01-03,15
2016-01-10,15
2016-01-17,18
2016-01-24,18
2016-01-31,20
2016-02-07,20
2016-02-14,20
2016-02-21,22
2016-02-28,22
2016-03-06,22
2016-03-13,24
2016-03-20,22
2016-03-27,23
2016-04-03,24
2016-04-10,25
2016-04-17,26
2016-04-24,26
2016-05-01,26
2016-05-08,26
2016-05-15,27
2016-05-22,26
2016-05-29,26
2016-06-05,29
2016-06-12,28
2016-06-19,26
2016-06-26,27
2016-07-03,27
2016-07-10,31
2016-07-17,30
2016-07-24,29
2016-07-31,29
2016-08-07,28
2016-08-14,27
2016-08-21,31
2016-08-28,33
2016-09-04,34
2016-09-11,35
2016-09-18,37
2016-09-25,39
2016-10-02,38
2016-10-09,39
2016-10-16,39
2016-10-23,42
2016-10-30,40
2016-11-06,42
2016-11-13,45
2016-11-20,41
2016-11-27,44
2016-12-04,46
2016-12-11,41
2016-12-18,39
2016-12-25,30
2017-01-01,42
2017-01-08,48
2017-01-15,55
2017-01-22,58
2017-01-29,54
2017-02-05,58
2017-02-12,58
2017-02-19,58
2017-02-26,64
2017-03-05,63
2017-03-12,61
2017-03-19,64
2017-03-26,65
2017-04-02,67
2017-04-09,64
2017-04-16,66
2017-04-23,64
2017-04-30,64
2017-05-07,68
2017-05-14,62
2017-05-21,60
2017-05-28,64
2017-06-04,66
2017-06-11,68
2017-06-18,74
2017-06-25,67
2017-07-02,67
2017-07-09,76
2017-07-16,73
2017-07-23,71
2017-07-30,73
2017-08-06,72
2017-08-13,70
2017-08-20,76
2017-08-27,76
2017-09-03,82
2017-09-10,87
2017-09-17,89
2017-09-24,89
2017-10-01,86
2017-10-08,92
2017-10-15,94
2017-10-22,94
2017-10-29,97
2017-11-05,96
2017-11-12,100
2017-11-19,88
2017-11-26,100
2017-12-03,97
