I_D	TSEVENT_ID	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	ARR_DAY	ARR_HOUR	ARR_MIN	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION
11014	1	-2000							SYRIA		UGARIT	35.583	35.75	50	12								1				3				4				 
1	3	-1610							GREECE		N. AND E. COAST CRETE	35.5	25	50	106								1				3				3				 
17601	3	-1610							SYRIA		UGARIT	35.583	35.75	50	935								1				3				3				 
2	9	-479							GREECE		POTIDAEA, MACEDONIA	40.3	23.33	50	67								1				3								 
19365	10	-426	6						GREECE		THERMOPLYLES	38.8	22.55	50	17								1												 
19364	10	-426	6						GREECE		TARFI			50									1												 
5	10	-426	6						GREECE		DAPHNUS	38	23.68	50	132								1												 
17611	10	-426	6						GREECE		OROBIES	38.817	23.233	50	47							5000	1				3				3				 
3	10	-426	6						GREECE		ATALANTI	38.651	22.999	50	38								1								1				 
7	10	-426	6						GREECE		OPOUS	38.633	23.0833	50	45							800	1												 
4	10	-426	6						GREECE		CENEUM	40.173	22.487	50	143								1												 
17612	10	-426	6						GREECE		THRONIUM	38.817	22.733	50	10								1								3				 
17613	10	-426	6						GREECE		LICHADES ISLAND	38.815	22.816	50	14								1												 
6	10	-426	6						GREECE		SKOPELOS	39.12	23.72	50	91								1												 
8	11	-373							GREECE		HELICE, PELOPONNESUS	38.21	22.13	50	11								1				3				3				3 
17621	3092	-227							GREECE		ISLAND OF RHODES	36.167	28	50	31								1								1				 
17622	5382	-218							SPAIN		CADIZ	36.533	-6.3	73	86								1												 
17623	4281	-210							SPAIN		CADIZ	36.533	-6.3	73	381								1												 
19367	15	-138							ISRAEL		AKKO (ACRE)	32.924	35.073	50									1				3								 
19366	15	-138							LEBANON		SIDON	33.5631	35.3689	50									1				3								 
19368	15	-138							LEBANON		SUR [TYRE]	33.2733	35.1939	50									1												 
17631	3714	-58							ALBANIA		DURAZZO	41.323	19.441	50	6								1												 
16092	19	-23							EGYPT		ALEXANDRIA	31.2	29.919	50									1												 
16093	19	-23							EGYPT		PELUSIUM	31.133	32.667	50									1												 
17632	23	62							GREECE		LEBENA	34.931	24.929	50	34								1												 
16533	4396	115	12	13					ISRAEL		CAESAREA	32.483	34.883	50	418								1												 
25334	3583	123							SOUTH KOREA		KYONGJU	35.8428	129.2117	84	5								1												 
10	27	142							GREECE		ISLAND OF SYMI	36.58	27.83	50	20								1								2				2 
12	27	142							GREECE		ISLAND OF SERIFOS	37.15	24.5	50	315								1								2				2 
11	27	142							GREECE		ISLAND OF KOS	36.8933	27.2889	50	67								1								2				2 
9	27	142							GREECE		ISLAND OF RHODES	36.167	28	50	59								1								2				2 
25331	29	173	6	28					CHINA		YEHSIAN, SHANDONG	37.1717	119.9214	84	37								1												 
25332	29	173	6	28					CHINA		CHANYI, SHANDONG	36.8536	119.3908	84	90								1												 
25330	29	173	6	28					CHINA		HUANGXIAN, SHANDONG	37.6481	120.5261	84	49								1												 
10864	3427	258							ITALY		ROME	41.9	12.45	50	0								7												 
10865	34	342	7						GREECE		THRACE	41.3	19.5	50									1												 
25838	3474	346							ALBANIA		DURRES (DYRRACHIUM)	41.3231	19.4414	50	9								1								1				1 
10868	36	348							SYRIA		SYRIAN COAST			50									1												 
10867	36	348							LEBANON		BEIRUT	33.53	35.3	50	45								1												 
10866	36	348							SYRIA		ARWAD ISLAND	34.85	35.85	50	110								1												 
25832	2314	358	8	24				?	TURKEY		IZMIT (NICOMEDEA)	40.77	29.94	50	3								1												 
10856	38	365	7	21					SPAIN		MALAGA	36.717	-4.417	50	2470								1				3				3				 
16091	38	365	7	21					GREECE		GORTIS, CRETE	35.325	25.1306	50	197								1												 
17	38	365	7	21					GREECE		ACHAEA, PELOPONNESUS	38.25	21.75	50	378								1								2				 
16	38	365	7	21					GREECE		KNOSSOS, CRETE	35.3	25.167	50	200								1			5000	4				2				 
